,stereopsis,6dof,audio,resolution,color,visits,RL_score
30,1,1,1,1,0,16.0,-5.36134
14,0,1,1,1,0,41.0,-3.32623621
22,1,0,1,1,0,27.0,-3.0838
31,1,1,1,1,1,28.0,-2.6940033
15,0,1,1,1,1,24.0,-2.0596807999999998
6,0,0,1,1,0,15.0,-1.2650000000000001
5,0,0,1,0,1,15.0,-0.8089999999999999
23,1,0,1,1,1,8.0,-0.7509100000000001
7,0,0,1,1,1,5.0,-0.47400000000000003
11,0,1,0,1,1,9.0,-0.277
27,1,1,0,1,1,4.0,-0.19700000000000004
10,0,1,0,1,0,12.0,-0.12317390000000017
9,0,1,0,0,1,3.0,-0.1
25,1,1,0,0,1,0.0,0.0
26,1,1,0,1,0,0.0,0.0
24,1,1,0,0,0,0.0,0.0
17,1,0,0,0,1,0.0,0.0
8,0,1,0,0,0,0.0,0.0
3,0,0,0,1,1,2.0,0.002999999999999989
18,1,0,0,1,0,2.0,0.0030000000000000027
12,0,1,1,0,0,10.0,0.003090000000000037
28,1,1,1,0,0,3.0,0.1
16,1,0,0,0,0,1.0,0.1
0,0,0,0,0,0,1.0,0.1
2,0,0,0,1,0,8.0,0.16618
13,0,1,1,0,1,8.0,0.186
21,1,0,1,0,1,2.0,0.2
1,0,0,0,0,1,2.0,0.2
29,1,1,1,0,1,4.0,0.20000000000000004
19,1,0,0,1,1,4.0,0.203
20,1,0,1,0,0,3.0,0.30000000000000004
4,0,0,1,0,0,3.0,0.30300000000000005
